                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8227,                 5.1233,                 1.7237,                0.01304,                0.08685,                0.01058,                 0.0059,                 1.6719,                 4.8179,                 1.6415,              2.961e-05,              2.961e-05,              2.961e-05
                      2,                 1.6988,                 3.9225,                 1.6253,                0.67054,                 0.0579,                0.02037,                0.01094,                  1.664,                 4.0009,                 1.5981,              5.943e-05,              5.943e-05,              5.943e-05
                      3,                 1.5673,                  3.187,                 1.5305,                0.73002,                0.06441,                0.03523,                0.01964,                 1.5377,                 3.2879,                 1.5152,             8.8021e-05,             8.8021e-05,             8.8021e-05
                      4,                 1.4928,                 2.8567,                 1.4805,                0.66696,                0.08768,                0.06376,                0.03555,                 1.5196,                 3.0064,                 1.5144,             0.00011538,             0.00011538,             0.00011538
                      5,                 1.4526,                 2.6095,                 1.4482,                0.63792,                0.10423,                0.08016,                 0.0452,                 1.5166,                 2.7455,                 1.4954,             0.00012983,             0.00012983,             0.00012983
                      6,                 1.4239,                 2.3992,                 1.4145,                0.44927,                0.14372,                0.11018,                0.06421,                  1.481,                 2.4932,                 1.4893,             0.00012704,             0.00012704,             0.00012704
                      7,                 1.4007,                 2.2303,                 1.3989,                0.51136,                0.16174,                0.14201,                0.08279,                 1.4655,                  2.296,                 1.4691,             0.00012425,             0.00012425,             0.00012425
                      8,                 1.3651,                 2.0584,                 1.3734,                0.43333,                0.19809,                0.16128,                0.09408,                 1.4448,                 2.1956,                 1.4504,             0.00012146,             0.00012146,             0.00012146
                      9,                 1.3414,                 1.9661,                 1.3617,                0.54328,                0.16161,                0.17684,                0.10508,                 1.4202,                 2.1856,                 1.4492,             0.00011867,             0.00011867,             0.00011867
                     10,                 1.2895,                 1.7975,                 1.3162,                0.51959,                0.23284,                0.21816,                0.13642,                 1.3938,                 2.1241,                  1.417,             0.00011587,             0.00011587,             0.00011587
                     11,                 1.2776,                 1.7377,                 1.3012,                0.54674,                0.23073,                0.23138,                0.14122,                 1.3875,                  2.041,                 1.4094,             0.00011308,             0.00011308,             0.00011308
                     12,                 1.2478,                 1.6567,                 1.2853,                 0.4693,                0.24333,                0.24545,                0.14646,                 1.3799,                 1.9891,                 1.4112,             0.00011029,             0.00011029,             0.00011029
                     13,                 1.2392,                 1.5773,                  1.283,                0.45658,                0.27659,                0.23483,                0.14772,                 1.3556,                 1.9902,                 1.4009,              0.0001075,              0.0001075,              0.0001075
                     14,                 1.1908,                 1.5065,                  1.264,                   0.46,                0.25488,                0.24558,                0.15361,                 1.3721,                  1.984,                 1.4233,             0.00010471,             0.00010471,             0.00010471
                     15,                 1.1871,                 1.4248,                 1.2467,                 0.4666,                0.31328,                0.28249,                0.17347,                 1.3475,                 1.8438,                 1.3815,             0.00010191,             0.00010191,             0.00010191
                     16,                 1.1642,                 1.3707,                 1.2358,                0.49677,                0.29501,                0.28648,                0.17456,                 1.3641,                 1.8494,                   1.39,             9.9123e-05,             9.9123e-05,             9.9123e-05
                     17,                 1.1442,                 1.3477,                 1.2175,                0.60003,                0.27142,                0.31054,                0.19548,                 1.3384,                 1.7831,                 1.3835,             9.6331e-05,             9.6331e-05,             9.6331e-05
                     18,                 1.1492,                 1.3269,                 1.2249,                0.53982,                0.32733,                0.32027,                0.20658,                 1.3537,                 1.7965,                 1.3863,             9.3539e-05,             9.3539e-05,             9.3539e-05
                     19,                 1.1304,                 1.2757,                 1.2065,                0.49975,                0.32552,                0.33815,                0.21897,                 1.3318,                  1.731,                 1.3618,             9.0748e-05,             9.0748e-05,             9.0748e-05
                     20,                 1.1105,                 1.2298,                 1.1956,                0.59057,                0.30789,                0.35614,                0.23407,                 1.3364,                 1.7089,                 1.3665,             8.7956e-05,             8.7956e-05,             8.7956e-05
                     21,                 1.1053,                 1.2175,                 1.2043,                0.57819,                 0.3267,                0.35541,                0.22606,                 1.3145,                 1.6914,                 1.3569,             8.5164e-05,             8.5164e-05,             8.5164e-05
